id,Rok,Mies,Dzien,Godzina,ΔT,Luna num,Saros num,Type,QSE,Gamma,Pen Mag.,Um Mag.,Pen. dur.,Par dur.,Total dur.,Zenith Lat.,Zenith Lng.
0,1473,5,12,07:28:21,224,-6514,122,P,a-,0.8256,1.3153,0.3703,268.7,126.1,-,19S,112W
1,1473,11,04,21:08:23,224,-6508,127,P,t-,-0.9890,1.0849,0.0023,288.5,11.7,-,17N,40E
2,1474,4,02,12:41:25,223,-6503,094,N,-a,-1.0536,0.9326,-0.0831,255.2,-,-,9S,171E
3,1474,9,25,14:54:00,223,-6497,099,N,-a,1.1158,0.8051,-0.1843,231.1,-,-,5N,134E
4,1475,3,22,18:18:39,222,-6491,104,T,-t,-0.3413,2.2673,1.1969,360.8,218.7,68.2,4S,87E
5,1475,9,15,06:11:44,222,-6485,109,T,-p,0.3855,2.1282,1.1726,308.5,195.7,58.8,1N,94W
6,1476,3,10,18:25:12,221,-6479,114,T,t-,0.3817,2.2019,1.1140,365.5,217.2,53.9,1N,87E
7,1476,9,03,22:34:58,221,-6473,119,T,p-,-0.3243,2.2458,1.2797,316.7,202.7,73.1,4S,21E
8,1477,2,27,20:11:49,220,-6467,124,N,h-,1.0767,0.9104,-0.1454,262.7,-,-,6N,61E
9,1477,8,24,11:25:47,220,-6461,129,N,t-,-1.0986,0.8482,-0.1639,244.9,-,-,9S,170W
10,1478,1,18,17:33:33,219,-6456,096,P,-a,-1.0033,1.0090,0.0249,248.8,34.7,-,17N,101E
11,1478,7,15,02:32:38,219,-6450,101,P,-t,0.9258,1.1940,0.1249,302.7,85.8,-,19S,36W
12,1479,1,08,09:05:26,218,-6444,106,T,-p,-0.3253,2.2462,1.2757,312.6,199.6,71.6,20N,133W
13,1479,7,04,03:14:45,218,-6438,111,T+,pp,0.1634,2.5872,1.5297,366.9,230.6,98.8,22S,47W
14,1479,12,28,23:43:31,217,-6432,116,T,p-,0.3535,2.2104,1.2083,324.0,202.5,65.2,23N,7E
15,1480,6,22,08:55:27,216,-6426,121,P,h-,-0.6085,1.7455,0.7375,318.9,179.1,-,24S,132W
16,1480,12,17,09:00:49,216,-6420,126,N,h-,1.0903,0.8873,-0.1722,258.0,-,-,24N,134W
17,1481,5,13,14:33:56,215,-6415,093,N,-a,1.1952,0.6376,-0.3085,201.5,-,-,19S,142E
18,1481,6,11,21:44:03,215,-6414,131,N,a-,-1.3201,0.4144,-0.5435,168.9,-,-,25S,35E
19,1481,11,06,15:52:48,215,-6409,098,N,-t,-1.2265,0.6587,-0.4429,240.0,-,-,18N,119E
20,1482,5,03,07:39:00,214,-6403,103,T,-a,0.4772,1.9582,1.0059,305.0,188.5,11.5,18S,115W
21,1482,10,26,16:45:28,214,-6397,108,P,-t,-0.5111,1.9538,0.8871,343.6,196.7,-,15N,106E
22,1483,4,22,21:52:19,213,-6391,113,T-,p-,-0.2713,2.3591,1.3612,334.4,212.9,83.2,15S,32E
23,1483,10,16,00:36:00,213,-6385,118,T+,p-,0.2218,2.4546,1.4476,334.2,213.5,88.7,12N,12W
24,1484,4,11,05:22:47,212,-6379,123,N,t-,-1.0662,0.9292,-0.1257,267.9,-,-,13S,81W
25,1484,10,04,14:45:35,212,-6373,128,P,a-,0.9031,1.1830,0.2185,260.3,99.2,-,9N,136E
26,1485,3,01,13:29:44,211,-6368,095,N,-t,1.1247,0.8371,-0.2481,263.1,-,-,5N,162E
27,1485,8,25,22:01:58,211,-6362,100,P,-a,-1.0093,0.9933,0.0183,249.4,30.1,-,8S,31E
28,1486,2,18,16:51:51,210,-6356,105,T,-p,0.3760,2.1895,1.1471,343.1,209.0,58.2,9N,111E
29,1486,8,15,09:15:15,210,-6350,110,T,-p,-0.2900,2.3389,1.3130,345.7,216.5,80.5,11S,137W
30,1487,2,08,03:22:49,209,-6344,115,T,p-,-0.3469,2.2163,1.2262,321.3,202.3,67.3,12N,46W
31,1487,8,04,13:21:13,209,-6338,120,P,t-,0.4783,2.0146,0.9466,354.6,205.8,-,14S,161E
32,1488,1,28,18:35:29,208,-6332,125,P,a-,-1.0083,0.9911,0.0243,242.2,33.8,-,15N,85E
33,1488,7,23,13:46:42,208,-6326,130,N,t-,1.2247,0.6444,-0.4223,234.4,-,-,17S,155E
34,1488,12,18,21:43:56,207,-6321,097,N,-a,1.0434,0.9523,-0.0655,252.6,-,-,24N,36E
35,1489,6,13,07:28:45,207,-6315,102,P,-h,-0.7554,1.4678,0.4757,296.6,147.8,-,24S,111W
36,1489,12,08,04:57:05,206,-6309,107,T,-a,0.3817,2.1954,1.1202,354.1,211.8,53.9,24N,74W
37,1490,6,02,21:49:13,206,-6303,112,T+,pp,0.0243,2.7877,1.8386,320.5,213.1,99.8,23S,33E
38,1490,11,27,05:25:13,205,-6297,117,T,p-,-0.3042,2.3528,1.2476,372.1,223.7,75.7,22N,82W
39,1491,5,23,15:00:00,205,-6291,122,P,a-,0.7569,1.4411,0.4965,277.4,143.5,-,21S,135E
40,1491,11,16,05:10:39,204,-6285,127,P,t-,-0.9741,1.1121,0.0298,290.6,41.7,-,20N,80W
41,1492,4,12,20:07:44,204,-6280,094,N,-a,-1.1130,0.8239,-0.1924,243.4,-,-,13S,58E
42,1492,5,12,06:21:14,204,-6279,132,Nb,a-,1.5337,0.0347,-0.9474,52.0,-,-,19S,95W
43,1492,10,05,23:04:19,203,-6274,099,N,-a,1.1424,0.7565,-0.2332,224.5,-,-,10N,11E
44,1493,4,02,01:28:34,203,-6268,104,T,-t,-0.3964,2.1656,1.0963,358.3,214.0,49.5,9S,21W
45,1493,9,25,14:23:01,202,-6262,109,T,-p,0.4226,2.0613,1.1033,306.4,192.2,46.4,5N,142E
46,1494,3,22,01:37:17,202,-6256,114,T,t-,0.3334,2.2884,1.2046,367.4,221.7,70.1,4S,22W
47,1494,9,15,06:32:25,201,-6250,119,T,p-,-0.2805,2.3287,1.3576,319.6,205.8,80.5,0N,99W
48,1495,3,11,03:50:59,201,-6244,124,N,h-,1.0379,0.9785,-0.0711,269.3,-,-,1N,55W
49,1495,9,04,18:54:17,200,-6238,129,N,t-,-1.0490,0.9425,-0.0759,256.9,-,-,5S,76E
